sample-id	absolute-filepath	forward-absolute-filepath	reverse-absolute-filepath	type
SRR30160130_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160130_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160130_L001_R2_001.fastq.gz	paired-end
SRR30160157_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160157_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160157_L001_R2_001.fastq.gz	paired-end
SRR12492586_BAEK_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR12492586_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR12492586_L001_R2_001.fastq.gz	paired-end
SRR25536411_CUOG_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536411_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536411_L001_R2_001.fastq.gz	paired-end
SRR25536417_CUOG_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536417_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR25536417_L001_R2_001.fastq.gz	paired-end
SRR8272162_ZHEJIANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272162_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272162_L001_R2_001.fastq.gz	paired-end
SRR10131553_ZHANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131553_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131553_L001_R2_001.fastq.gz	paired-end
SRR8272159_ZHEJIANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272159_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272159_L001_R2_001.fastq.gz	paired-end
SRR30160146_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160146_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160146_L001_R2_001.fastq.gz	paired-end
SRR15714624_CASR_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR15714624_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR15714624_L001_R2_001.fastq.gz	paired-end
SRR18494400_CAO_2019	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR18494400_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR18494400_L001_R2_001.fastq.gz	paired-end
SRR24313859_ZHU_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR24313859_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR24313859_L001_R2_001.fastq.gz	paired-end
SRR30160127_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160127_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160127_L001_R2_001.fastq.gz	paired-end
SRR10131551_ZHANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131551_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131551_L001_R2_001.fastq.gz	paired-end
SRR3216403_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216403_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216403_L001_R2_001.fastq.gz	paired-end
SRR12327344_ALBARRACIN-ARIAS_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR12327344_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR12327344_L001_R2_001.fastq.gz	paired-end
SRR30160129_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160129_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160129_L001_R2_001.fastq.gz	paired-end
SRR3214536_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214536_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214536_L001_R2_001.fastq.gz	paired-end
SRR24888897_SHANDONG_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR24888897_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR24888897_L001_R2_001.fastq.gz	paired-end
SRR30160152_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160152_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160152_L001_R2_001.fastq.gz	paired-end
SRR3216397_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216397_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3216397_L001_R2_001.fastq.gz	paired-end
SRR908076_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908076_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908076_L001_R2_001.fastq.gz	paired-end
SRR1523710_AHN_2014	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523710_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523710_L001_R2_001.fastq.gz	paired-end
SRR1523690_AHN_2014	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523690_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523690_L001_R2_001.fastq.gz	paired-end
SRR21755284_DONGHUA_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR21755284_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR21755284_L001_R2_001.fastq.gz	paired-end
SRR8618606_LIU_2019	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR8618606_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR8618606_L001_R2_001.fastq.gz	paired-end
SRR5133620_SRINIVASAN_BUTLER_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5133620_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5133620_L001_R2_001.fastq.gz	paired-end
SRR2140798_CHILE_2016	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR2140798_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR2140798_L001_R2_001.fastq.gz	paired-end
SRR908070_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908070_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908070_L001_R2_001.fastq.gz	paired-end
SRR30160140_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160140_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160140_L001_R2_001.fastq.gz	paired-end
SRR5121315_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5121315_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5121315_L001_R2_001.fastq.gz	paired-end
SRR1523706_AHN_2014	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523706_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR1523706_L001_R2_001.fastq.gz	paired-end
SRR10131539_ZHANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131539_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR10131539_L001_R2_001.fastq.gz	paired-end
SRR20853645_LASCU_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR20853645_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR20853645_L001_R2_001.fastq.gz	paired-end
SRR5133617_SRINIVASAN_BUTLER_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR5133617_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR5133617_L001_R2_001.fastq.gz	paired-end
SRR14119288_SPIESS_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119288_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119288_L001_R2_001.fastq.gz	paired-end
SRR908079_DENVER_2013	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR908079_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR908079_L001_R2_001.fastq.gz	paired-end
SRR14119287_SPIESS_2021	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119287_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR14119287_L001_R2_001.fastq.gz	paired-end
SRR30160139_CASTELLANO-HINOJOSA_2024	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160139_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR30160139_L001_R2_001.fastq.gz	paired-end
SRR3214613_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214613_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214613_L001_R2_001.fastq.gz	paired-end
SRR3214649_ZHAO_2017	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214649_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR3214649_L001_R2_001.fastq.gz	paired-end
SRR13855344_BEIHANG_2022	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855344_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR13855344_L001_R2_001.fastq.gz	paired-end
DRR445947_FIHES_2023	NA	/home/ubuntu/ccm/fastq_files/paired_new/DRR445947_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/DRR445947_L001_R2_001.fastq.gz	paired-end
SRR8272164_ZHEJIANG_2020	NA	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272164_L001_R1_001.fastq.gz	/home/ubuntu/ccm/fastq_files/paired_new/SRR8272164_L001_R2_001.fastq.gz	paired-end
